check,metric,estimate,std,ci_lower,ci_upper,random_reference,distance_from_random,n_repetitions
original_model,ate,0.06105172999608584,,,,0.06105172999608584,0.0,1
placebo_treatment,ate,0.06105172999608584,,,,0.06105172999608584,0.0,1
original_model,top_decile_lift,0.1183810763888889,,,,0.061371421424044066,0.05700965496484483,1
placebo_treatment,top_decile_lift,0.11155614542351994,,,,0.061371421424044066,0.05018472399947587,1
original_model,qini,0.08904049731939576,,,,-0.0035969606308274486,0.0926374579502232,1
placebo_treatment,qini,0.08581848177423872,,,,-0.0035969606308274486,0.08941544240506616,1
original_model,auuc,0.5919576330492472,,,,0.4963760366231966,0.09558159642605057,1
placebo_treatment,auuc,0.5888923972167449,,,,0.4963760366231966,0.09251636059354829,1
bootstrap,ate,0.0613459062806241,0.005428204099642877,0.05041467405022367,0.07243910505764516,,,300
bootstrap,top_decile_lift,0.11848490836056859,0.019185366387906116,0.0821185977853607,0.15605957393952077,,,300
bootstrap,qini,0.09102351229033169,0.027721609750079812,0.03651481458856001,0.14924826332344618,,,300
bootstrap,auuc,0.5939446587873534,0.027930320088955143,0.5392700564259608,0.6502798461220776,,,300
bootstrap,top_decile_minus_ate,0.05713900207994449,0.017421472234596846,0.025010938208977804,0.09174935916265615,,,300
split_stability,qini,0.07076879013849806,0.028834684402308353,,,,,10
split_stability,auuc,0.5710545926272397,0.02843809139711484,,,,,10
split_stability,top_decile_lift,0.09169239422928993,0.01317425796637553,,,,,10
