decile,n_customers,n_treated,n_control,treated_outcome_rate,control_outcome_rate,actual_lift,actual_lift_se,actual_lift_ci_lower,actual_lift_ci_upper,mean_tau_hat
1,1600,1059,541,0.20868744098205855,0.14972273567467653,0.058964705307382015,0.01979483938703415,0.020166820108795086,0.09776259050596894,0.1281450624511585
2,1600,1070,530,0.16261682242990655,0.10566037735849057,0.05695644507141598,0.01749328525863195,0.02266960596449736,0.0912432841783346,0.09390598588550272
3,1600,1081,519,0.15448658649398705,0.08092485549132948,0.07356173100265757,0.01626431512153731,0.04168367336444445,0.1054397886408707,0.08335660118358444
4,1600,1034,566,0.17311411992263057,0.10777385159010601,0.06534026833252456,0.01757171078267034,0.03089971519849069,0.09978082146655842,0.07403627124223063
5,1600,1070,530,0.17570093457943925,0.1,0.07570093457943924,0.01748182463199712,0.04143655830072489,0.1099653108581536,0.06474044066698116
6,1600,1048,552,0.14885496183206107,0.09057971014492754,0.05827525168713353,0.01644720830655759,0.026038723406280655,0.0905117799679864,0.055961629967650736
7,1600,1091,509,0.1457378551787351,0.07465618860510806,0.07108166657362705,0.015817967848767187,0.040078449590043363,0.10208488355721074,0.04784336364302253
8,1600,1073,527,0.14259086672879775,0.11764705882352941,0.024943807905268345,0.01764645997126889,-0.009643253638418683,0.05953086944895537,0.03951984167566508
9,1600,1076,524,0.15520446096654275,0.10877862595419847,0.04642583501234428,0.01753092393319161,0.012065224103288717,0.08078644592139983,0.027244594715018416
10,1600,1072,528,0.20522388059701493,0.12310606060606061,0.08211781999095433,0.018898007377165554,0.04507772553170984,0.11915791445019881,-0.006975038769473069
Overall,16000,10674,5326,0.16713509462244708,0.10608336462636124,0.06105172999608584,0.005554343980065103,0.05016521579515824,0.07193824419701345,0.06077787526613412
