decile,n_customers,n_treated,n_control,treated_outcome_rate,control_outcome_rate,actual_lift,actual_lift_se,actual_lift_ci_lower,actual_lift_ci_upper,mean_tau_hat
1,1600,1052,548,0.20912547528517111,0.1386861313868613,0.0704393438983098,0.01938410314962702,0.03244650172504085,0.10843218607157876,0.11119178757930218
2,1600,1062,538,0.17702448210922786,0.10037174721189591,0.07665273489733195,0.01747747619615237,0.0423968815528733,0.11090858824179059,0.08464344003433244
3,1600,1062,538,0.1751412429378531,0.10966542750929369,0.06547581542855942,0.01783210346423619,0.030524892638656487,0.10042673821846235,0.07822727094596038
4,1600,1061,539,0.15174363807728558,0.11131725417439703,0.04042638390288855,0.017473076962119305,0.006179153057134713,0.0746736147486424,0.07257289792551515
5,1600,1085,515,0.20092165898617512,0.08349514563106795,0.11742651335510716,0.01723338741341246,0.08364907402481875,0.15120395268539558,0.06514010758229516
6,1600,1072,528,0.20149253731343283,0.14015151515151514,0.061341022161917697,0.019465279964655954,0.023189073431192024,0.09949297089264336,0.054058435772344114
7,1600,1067,533,0.16119962511715089,0.0975609756097561,0.06363864950739478,0.017097857555456446,0.03012684869870015,0.09715045031608942,0.04446175746852792
8,1600,1089,511,0.11937557392102846,0.0958904109589041,0.023485162962124356,0.016328298873071752,-0.008518302829096276,0.05548862875334499,0.04009044465854925
9,1600,1043,557,0.12847555129434324,0.08258527827648116,0.04589027301786208,0.015611672250060608,0.015291395407743293,0.07648915062798087,0.035074016953180596
10,1600,1081,519,0.14708603145235893,0.1001926782273603,0.04689335322499863,0.017035307001373748,0.013504151502306085,0.08028255494769118,0.016149984582979435
Overall,16000,10674,5326,0.16713509462244708,0.10608336462636124,0.06105172999608584,0.005554343980065103,0.05016521579515824,0.07193824419701345,0.060161014350298664
