decile,n_customers,n_treated,n_control,treated_outcome_rate,control_outcome_rate,actual_lift,actual_lift_se,actual_lift_ci_lower,actual_lift_ci_upper,mean_tau_hat
1,1600,1039,561,0.2906641000962464,0.16755793226381463,0.12310616783243175,0.021159064398134465,0.08163440161208821,0.1645779340527753,0.09942322674003087
2,1600,1059,541,0.21718602455146366,0.17929759704251386,0.0378884275089498,0.02081335714333105,-0.0029057524919790523,0.07868260750987865,0.08143176049586792
3,1600,1042,558,0.22264875239923224,0.14157706093189965,0.08107169146733259,0.019607440804685385,0.04264110749014924,0.11950227544451594,0.07275658370115969
4,1600,1084,516,0.17804428044280443,0.1065891472868217,0.07145513315598273,0.017889588255582733,0.03639154017504057,0.1065187261369249,0.06615190311559532
5,1600,1054,546,0.17836812144212524,0.10989010989010989,0.06847801155201536,0.01785083492740904,0.03349037509429364,0.10346564800973707,0.06063367936865055
6,1600,1115,485,0.15784753363228698,0.1134020618556701,0.04444547177661688,0.018084793141037735,0.00899927722018292,0.07989166633305084,0.0554291716930009
7,1600,1058,542,0.13137996219281664,0.08302583025830258,0.04835413193451406,0.01576993449836348,0.017445060317721642,0.07926320355130648,0.05035606835552672
8,1600,1063,537,0.12417685794920037,0.0670391061452514,0.05713775180394898,0.0148018873461205,0.028126052605552797,0.08614945100234515,0.04495323372243371
9,1600,1106,494,0.10759493670886076,0.06072874493927125,0.04686619176958951,0.014233611856094886,0.018968312531643536,0.07476407100753549,0.039091197596807355
10,1600,1054,546,0.06925996204933586,0.02564102564102564,0.04361893640831022,0.010346972653044706,0.0233388700083426,0.06389900280827784,0.03125833164725855
Overall,16000,10674,5326,0.16713509462244708,0.10608336462636124,0.06105172999608584,0.005554343980065103,0.05016521579515824,0.07193824419701345,0.06014851564363316
