decile,n_customers,n_treated,n_control,treated_outcome_rate,control_outcome_rate,actual_lift,actual_lift_se,actual_lift_ci_lower,actual_lift_ci_upper,mean_tau_hat
1,1600,1024,576,0.23046875,0.15104166666666666,0.07942708333333334,0.019909064721893167,0.040405316478422736,0.11844885018824394,0.12414561082143337
2,1600,1075,525,0.1972093023255814,0.11238095238095239,0.08482834994462901,0.018378653359617473,0.04880618935977876,0.12085051052947926,0.0928540170751512
3,1600,1086,514,0.1850828729281768,0.11867704280155641,0.06640583012662038,0.018517447231594854,0.030111633552694465,0.10270002670054629,0.08077469335403294
4,1600,1042,558,0.1746641074856046,0.10215053763440861,0.07251356985119599,0.017410894690871113,0.03838821625708861,0.10663892344530337,0.07013942901045084
5,1600,1055,545,0.14407582938388624,0.09724770642201835,0.04682812296186789,0.01668471595842603,0.014126079683352874,0.07953016624038291,0.05973529824987054
6,1600,1086,514,0.1427255985267035,0.10311284046692606,0.03961275805977743,0.017118517088118394,0.006060464567065375,0.07316505155248948,0.05045808008173481
7,1600,1096,504,0.1541970802919708,0.09722222222222222,0.05697485806974857,0.017134716176876653,0.023390814363070334,0.09055890177642681,0.04234576003625989
8,1600,1068,532,0.13764044943820225,0.09210526315789473,0.04553518628030752,0.01639275228630767,0.01340539179914449,0.07766498076147055,0.03502186314901337
9,1600,1076,524,0.13289962825278812,0.07824427480916031,0.054655353443627805,0.01565561512280143,0.023970347802937,0.08534035908431861,0.02702668815618381
10,1600,1066,534,0.175422138836773,0.10486891385767791,0.07055322497909508,0.01766181905079383,0.03593605963953918,0.10517039031865098,0.009246152789564803
Overall,16000,10674,5326,0.16713509462244708,0.10608336462636124,0.06105172999608584,0.005554343980065103,0.05016521579515824,0.07193824419701345,0.05917475927236956
