model,decile,customers,mean_predicted_uplift,treated_customers,control_customers,treated_visit_rate,control_visit_rate,observed_uplift
Logistic T-learner,1,1600,0.09631653619932219,1024,576,0.2451171875,0.1267361111111111,0.1183810763888889
Logistic T-learner,2,1600,0.08465318657415417,1042,558,0.21880998080614203,0.14336917562724014,0.07544080517890189
Logistic T-learner,3,1600,0.07919351590540712,1112,488,0.17446043165467626,0.11885245901639344,0.05560797263828282
Logistic T-learner,4,1600,0.07237416328244056,1076,524,0.16263940520446096,0.08587786259541985,0.07676154260904111
Logistic T-learner,5,1600,0.06645173022193544,1079,521,0.16404077849860982,0.09596928982725528,0.06807148867135454
Logistic T-learner,6,1600,0.05376217527765022,1040,560,0.125,0.07678571428571429,0.04821428571428571
Logistic T-learner,7,1600,0.0460374835508296,1081,519,0.1396854764107308,0.1001926782273603,0.03949279818337051
Logistic T-learner,8,1600,0.04228649225564959,1075,525,0.1144186046511628,0.07238095238095238,0.04203765227021042
Logistic T-learner,9,1600,0.037044661593753976,1077,523,0.1392757660167131,0.06500956022944551,0.07426620578726759
Logistic T-learner,10,1600,0.020285351571913086,1068,532,0.19194756554307116,0.17293233082706766,0.0190152347160035
XGBoost T-learner,1,1600,0.12354017049074173,1054,546,0.22770398481973433,0.163003663003663,0.06470032181607133
XGBoost T-learner,2,1600,0.0945095419883728,1058,542,0.2003780718336484,0.1033210332103321,0.09705703862331629
XGBoost T-learner,3,1600,0.08238518983125687,1075,525,0.18976744186046512,0.12571428571428572,0.0640531561461794
XGBoost T-learner,4,1600,0.07247529178857803,1069,531,0.14873713751169318,0.0847457627118644,0.06399137479982878
XGBoost T-learner,5,1600,0.06340285390615463,1069,531,0.14873713751169318,0.1016949152542373,0.047042222257455885
XGBoost T-learner,6,1600,0.05358853191137314,1072,528,0.1669776119402985,0.12121212121212122,0.04576549072817729
XGBoost T-learner,7,1600,0.045075658708810806,1062,538,0.14124293785310735,0.07992565055762081,0.061317287295486536
XGBoost T-learner,8,1600,0.03687255457043648,1089,511,0.1322314049586777,0.07240704500978473,0.05982435994889296
XGBoost T-learner,9,1600,0.02797122485935688,1077,523,0.1467038068709378,0.0841300191204589,0.0625737877504789
XGBoost T-learner,10,1600,0.0013481086352840066,1049,551,0.17063870352716873,0.12159709618874773,0.049041607338421
Random Forest T-learner,1,1600,0.1092060870347738,1052,548,0.22338403041825095,0.16423357664233576,0.059150453775915185
Random Forest T-learner,2,1600,0.08967034508792264,1069,531,0.186155285313377,0.09981167608286252,0.08634360923051447
Random Forest T-learner,3,1600,0.08012617081195994,1068,532,0.17790262172284643,0.08458646616541353,0.0933161555574329
Random Forest T-learner,4,1600,0.07201946742250531,1050,550,0.16952380952380952,0.10545454545454545,0.06406926406926407
Random Forest T-learner,5,1600,0.06371264750881556,1076,524,0.17843866171003717,0.10114503816793893,0.07729362354209823
Random Forest T-learner,6,1600,0.054799297845613035,1068,532,0.15730337078651685,0.12781954887218044,0.029483821914336406
Random Forest T-learner,7,1600,0.04614598655940963,1045,555,0.15119617224880383,0.09549549549549549,0.05570067675330834
Random Forest T-learner,8,1600,0.03862141315989702,1081,519,0.13876040703052728,0.08477842003853564,0.05398198699199164
Random Forest T-learner,9,1600,0.030128964880771845,1110,490,0.12972972972972974,0.09183673469387756,0.03789299503585218
Random Forest T-learner,10,1600,0.01437822740396209,1055,545,0.16113744075829384,0.10275229357798166,0.05838514718031218
